"Date","Municipality","Trip Duration","Membership Type","No of Trips","Miles Travelled"
"1/1/2014","Washington, DC","1 - 1.5 hr","24-hr Pass","492","0"
"1/1/2014","Washington, DC","1 - 1.5 hr","Annual","95","0"
"1/1/2014","Washington, DC","1.5 - 2 hr","24-hr Pass","202","0"
"1/1/2014","Washington, DC","1.5 - 2 hr","Annual","22","0"
"1/1/2014","Washington, DC","2 - 3 hr","24-hr Pass","116","0"
"1/1/2014","Washington, DC","2 - 3 hr","Annual","13","0"
"1/1/2014","Washington, DC","3 - 4 hr","24-hr Pass","33","0"
"1/1/2014","Washington, DC","3 - 4 hr","Annual","7","0"
"1/1/2014","Washington, DC","4 - 5 hr","24-hr Pass","10","0"
"1/1/2014","Washington, DC","4 - 5 hr","Annual","7","0"
"1/1/2014","Washington, DC","5 - 24 hr","24-hr Pass","15","0"
"1/1/2014","Washington, DC","5 - 24 hr","Annual","31","0"
"2/1/2014","Alexandria, VA","<0.5 hr","24-hr Pass","35","0"
"2/1/2014","Alexandria, VA","<0.5 hr","Annual","719","1258"
"2/1/2014","Alexandria, VA","0.5 - 1 hr","24-hr Pass","24","0"
"2/1/2014","Alexandria, VA","0.5 - 1 hr","Annual","28","0"
"2/1/2014","Alexandria, VA","1 - 1.5 hr","24-hr Pass","13","0"
"2/1/2014","Alexandria, VA","1 - 1.5 hr","Annual","4","0"
"2/1/2014","Alexandria, VA","1.5 - 2 hr","24-hr Pass","2","0"
"2/1/2014","Alexandria, VA","1.5 - 2 hr","Annual","0","0"
"2/1/2014","Alexandria, VA","2 - 3 hr","24-hr Pass","2","0"
"2/1/2014","Alexandria, VA","2 - 3 hr","Annual","0","0"
"2/1/2014","Alexandria, VA","3 - 4 hr","24-hr Pass","0","0"
"2/1/2014","Alexandria, VA","3 - 4 hr","Annual","0","0"
"2/1/2014","Alexandria, VA","4 - 5 hr","24-hr Pass","0","0"
"2/1/2014","Alexandria, VA","4 - 5 hr","Annual","0","0"
"2/1/2014","Alexandria, VA","5 - 24 hr","24-hr Pass","0","0"
"2/1/2014","Alexandria, VA","5 - 24 hr","Annual","1","0"
"2/1/2014","Arlington, VA","<0.5 hr","24-hr Pass","282","0"
"2/1/2014","Arlington, VA","<0.5 hr","Annual","6939","11248"
"2/1/2014","Arlington, VA","0.5 - 1 hr","24-hr Pass","88","0"
"2/1/2014","Arlington, VA","0.5 - 1 hr","Annual","152","0"
"2/1/2014","Arlington, VA","1 - 1.5 hr","24-hr Pass","56","0"
"2/1/2014","Arlington, VA","1 - 1.5 hr","Annual","8","0"
"2/1/2014","Arlington, VA","1.5 - 2 hr","24-hr Pass","38","0"
"2/1/2014","Arlington, VA","1.5 - 2 hr","Annual","4","0"
"2/1/2014","Arlington, VA","2 - 3 hr","24-hr Pass","20","0"
"2/1/2014","Arlington, VA","2 - 3 hr","Annual","6","0"
"2/1/2014","Arlington, VA","3 - 4 hr","24-hr Pass","9","0"
"2/1/2014","Arlington, VA","3 - 4 hr","Annual","8","0"
"2/1/2014","Arlington, VA","4 - 5 hr","24-hr Pass","3","0"
"2/1/2014","Arlington, VA","4 - 5 hr","Annual","2","0"
"2/1/2014","Arlington, VA","5 - 24 hr","24-hr Pass","8","0"
"2/1/2014","Arlington, VA","5 - 24 hr","Annual","4","0"
"2/1/2014","Rest of Montgomery County","<0.5 hr","24-hr Pass","23","0"
"2/1/2014","Rest of Montgomery County","<0.5 hr","Annual","788","1507"
"2/1/2014","Rest of Montgomery County","0.5 - 1 hr","24-hr Pass","21","0"
"2/1/2014","Rest of Montgomery County","0.5 - 1 hr","Annual","44","0"
"2/1/2014","Rest of Montgomery County","1 - 1.5 hr","24-hr Pass","11","0"
"2/1/2014","Rest of Montgomery County","1 - 1.5 hr","Annual","4","0"
"2/1/2014","Rest of Montgomery County","1.5 - 2 hr","24-hr Pass","5","0"
"2/1/2014","Rest of Montgomery County","1.5 - 2 hr","Annual","1","0"
"2/1/2014","Rest of Montgomery County","2 - 3 hr","24-hr Pass","2","0"
